name,address,평점,카테고리
호텔밀하우스,서울 서대문구 창천동 29-56,4.2점,여행 > 숙박 > 호텔
24게스트하우스 신촌점,서울 마포구 노고산동 57-20,2.3점,여행 > 숙박 > 게스트하우스
신라스테이 마포,서울 마포구 도화동 570,3.1점,여행 > 숙박 > 호텔 > 신라스테이
에버8,서울 서대문구 대현동 104-5,5.0점,여행 > 숙박 > 호텔
호텔 나루 서울 엠갤러리,서울 마포구 마포동 450,4.1점,여행 > 숙박 > 호텔 > 특급호텔 > 앰배서더호텔
성도모텔,서울 마포구 노고산동 106-77,3.3점,"여행 > 숙박 > 여관,모텔"
림호텔,서울 서대문구 창천동 29-26,1.0점,"여행 > 숙박 > 여관,모텔"
호텔이채3,서울 서대문구 창천동 29-21,1.0점,"여행 > 숙박 > 여관,모텔"
D호텔,서울 서대문구 창천동 29-64,1.0점,"여행 > 숙박 > 여관,모텔"
준게스트하우스,서울 마포구 서교동 335-36,3.4점,여행 > 숙박 > 게스트하우스
L7 홍대,서울 마포구 동교동 160-5,3.6점,여행 > 숙박 > 호텔
렉시호텔,서울 서대문구 창천동 29-55,1.8점,여행 > 숙박 > 호텔
신디,서울 서대문구 창천동 29-36,1.3점,"여행 > 숙박 > 여관,모텔"
브라운스위트호텔 신촌센트럴,서울 마포구 노고산동 57-26,3.0점,여행 > 숙박 > 호텔
위드모텔,서울 마포구 노고산동 106-91,5.0점,"여행 > 숙박 > 여관,모텔"
애니타임호텔,서울 서대문구 창천동 29-51,4.9점,"여행 > 숙박 > 여관,모텔"
위고인호스텔,서울 서대문구 대현동 104-48,4.8점,여행 > 숙박 > 유스호스텔
H에비뉴호텔 신촌이대점,서울 마포구 노고산동 1-74,2.6점,여행 > 숙박 > 호텔
호텔루디,서울 마포구 노고산동 106-54,1.3점,"여행 > 숙박 > 여관,모텔"
Y호텔,서울 마포구 노고산동 106-46,2.8점,"여행 > 숙박 > 여관,모텔"
앰배서더호텔 머큐어 서울홍대,서울 마포구 동교동 162-5,4.1점,여행 > 숙박 > 호텔 > 특급호텔 > 앰배서더호텔
넘버25호텔 신촌점,서울 마포구 노고산동 106-10,2.8점,"여행 > 숙박 > 여관,모텔"
호텔레츠,서울 서대문구 창천동 20-76,,"여행 > 숙박 > 여관,모텔"
호텔라싸,서울 서대문구 창천동 18-81,1.5점,여행 > 숙박 > 호텔
호텔가을,서울 서대문구 창천동 29-41,3.3점,"여행 > 숙박 > 여관,모텔"
신촌월호텔,서울 서대문구 대현동 104-15,2.6점,"여행 > 숙박 > 여관,모텔"
신촌시스터즈호스텔,서울 마포구 노고산동 106-105,3.0점,여행 > 숙박 > 게스트하우스
호텔모모,서울 서대문구 창천동 20-38,2.8점,"여행 > 숙박 > 여관,모텔"
바론드호텔,서울 서대문구 창천동 29-11,2.6점,"여행 > 숙박 > 여관,모텔"
호텔루이,서울 서대문구 창천동 29-24,2.7점,"여행 > 숙박 > 여관,모텔"
호텔루씨르,서울 서대문구 창천동 29-68,3.8점,"여행 > 숙박 > 여관,모텔"
피터캣,서울 마포구 노고산동 106-25,2.9점,"여행 > 숙박 > 여관,모텔"
라이즈 오토그래프 컬렉션,서울 마포구 서교동 354-5,4.0점,여행 > 숙박 > 호텔
포레스타호텔,서울 서대문구 창천동 29-26,2.4점,여행 > 숙박 > 호텔
테마모텔,서울 서대문구 창천동 112-15,4.5점,"여행 > 숙박 > 여관,모텔"
신촌 메이저호텔,서울 마포구 노고산동 109-62,2.4점,"여행 > 숙박 > 여관,모텔"
호텔서강스테이,서울 마포구 노고산동 106-41,2.3점,"여행 > 숙박 > 여관,모텔"
호텔M,서울 마포구 노고산동 106-62,2.0점,"여행 > 숙박 > 여관,모텔"
도로시모텔,서울 마포구 노고산동 107-35,2.0점,"여행 > 숙박 > 여관,모텔"
힙호텔,서울 서대문구 대현동 104-56,2.3점,"여행 > 숙박 > 여관,모텔"
호텔제이드,서울 서대문구 창천동 29-49,3.3점,"여행 > 숙박 > 여관,모텔"
호텔파르페,서울 마포구 노고산동 109-6,1.8점,"여행 > 숙박 > 여관,모텔"
홀리데이인익스프레스 서울홍대,서울 마포구 동교동 192-45,3.9점,여행 > 숙박 > 호텔
라뉘호텔,서울 마포구 노고산동 106-15,2.4점,"여행 > 숙박 > 여관,모텔"
호텔S,서울 마포구 노고산동 109-154,3.0점,"여행 > 숙박 > 여관,모텔"
