name,address
조선호텔 포포인츠바이쉐라톤 서울역,서울 용산구 동자동 56
타운게스트하우스,서울 마포구 아현동 703-12
밀레니엄힐튼 서울(22년12월31일 영업종료),서울 중구 남대문로5가 395
테마모텔,서울 서대문구 냉천동 164
비욘드스위트,서울 서대문구 대현동 101-9
계림모텔,서울 용산구 서계동 228-6
신라스테이 마포,서울 마포구 도화동 570
에버8,서울 서대문구 대현동 104-5
K그랜드호텔 서울,서울 용산구 동자동 43-59
라마다호텔앤스위트 서울남대문,서울 중구 순화동 151
서울큐브이화,서울 마포구 염리동 9-124
금강모텔,서울 용산구 서계동 229-3
ENA스위트호텔,서울 중구 서소문동 120-13
성덕장모텔,서울 서대문구 북아현동 125-20
유에이치스위트 더서울,서울 중구 만리동1가 33-1
프레이저플레이스 센트럴서울,서울 중구 순화동 214
위고인호스텔,서울 서대문구 대현동 104-48
H에비뉴호텔 신촌이대점,서울 마포구 노고산동 1-74
참호텔,서울 서대문구 대현동 90-23
프레이저플레이스 남대문서울,서울 중구 남대문로4가 17-7
예원장모텔,서울 마포구 공덕동 105-228
필스테이 이화부띠끄점,서울 서대문구 대현동 56-126
소라모텔,서울 서대문구 대현동 101-15
신촌월호텔,서울 서대문구 대현동 104-15
신도여관,서울 마포구 아현동 346-27
랑호텔,서울 중구 중림동 128-40
서울그랜드호스텔 이대,서울 서대문구 대현동 101-17
글래드 마포,서울 마포구 도화동 25-13
데이빗하우스 이화,서울 서대문구 대현동 56-49
호텔모모,서울 서대문구 창천동 20-38
호텔아트리움바비엥2,서울 중구 의주로1가 25-10
디케이하우스,서울 서대문구 대현동 90-37
바비엥스위트,서울 중구 의주로1가 32-2
포레스타호텔,서울 서대문구 창천동 29-26
굿타임호텔,서울 서대문구 대현동 104-41
롯데시티호텔 마포,서울 마포구 공덕동 467
대명여인숙,서울 마포구 아현동 570-49
나루하우스,서울 마포구 공덕동 242-45
경북장여관,서울 서대문구 북아현동 110
국제여관,서울 서대문구 북아현동 130-17
호텔엘리,서울 서대문구 대현동 110-35
MK리버티하우스 서울역본점,서울 용산구 서계동 220-3
힙호텔,서울 서대문구 대현동 104-56
신라스테이 서대문,서울 서대문구 미근동 333
코트야드바이메리어트 서울남대문,서울 중구 남대문로4가 17-23
