name,address,평점,카테고리
조선호텔 포포인츠바이쉐라톤 서울역,서울 용산구 동자동 56,3.6점,여행 > 숙박 > 호텔 > 특급호텔 > 조선호텔
밀레니엄힐튼 서울(22년12월31일 영업종료),서울 중구 남대문로5가 395,3.7점,여행 > 숙박 > 호텔 > 특급호텔 > 힐튼호텔
비욘드스위트,서울 서대문구 대현동 101-9,5.0점,여행 > 숙박 > 호텔
K그랜드호텔 서울,서울 용산구 동자동 43-59,4.0점,여행 > 숙박 > 호텔
신라스테이 마포,서울 마포구 도화동 570,3.1점,여행 > 숙박 > 호텔 > 신라스테이
호텔 나루 서울 엠갤러리,서울 마포구 마포동 450,4.1점,여행 > 숙박 > 호텔 > 특급호텔 > 앰배서더호텔
에버8,서울 서대문구 대현동 104-5,5.0점,여행 > 숙박 > 호텔
계림모텔,서울 용산구 서계동 228-6,1.0점,"여행 > 숙박 > 여관,모텔"
텐큐글로벌레지던스 2,서울 마포구 공덕동 461,,여행 > 숙박 > 호텔
라마다호텔앤스위트 서울남대문,서울 중구 순화동 151,3.4점,여행 > 숙박 > 호텔 > 특급호텔 > 라마다호텔
로이넷호텔 서울마포,서울 마포구 도화동 573,4.6점,여행 > 숙박 > 호텔
서울가든호텔,서울 마포구 도화동 169-1,3.4점,여행 > 숙박 > 호텔
서울큐브이화,서울 마포구 염리동 9-124,3.6점,여행 > 숙박 > 게스트하우스
금강모텔,서울 용산구 서계동 229-3,3.0점,"여행 > 숙박 > 여관,모텔"
성덕장모텔,서울 서대문구 북아현동 125-20,,"여행 > 숙박 > 여관,모텔"
유에이치스위트 더서울,서울 중구 만리동1가 33-1,5.0점,여행 > 숙박 > 호텔
프레이저플레이스 센트럴서울,서울 중구 순화동 214,3.5점,여행 > 숙박 > 호텔
위고인호스텔,서울 서대문구 대현동 104-48,4.8점,여행 > 숙박 > 유스호스텔
H에비뉴호텔 신촌이대점,서울 마포구 노고산동 1-74,2.6점,여행 > 숙박 > 호텔
참호텔,서울 서대문구 대현동 90-23,,"여행 > 숙박 > 여관,모텔"
예원장모텔,서울 마포구 공덕동 105-228,,"여행 > 숙박 > 여관,모텔"
필스테이 이화부띠끄점,서울 서대문구 대현동 56-126,4.0점,여행 > 숙박 > 게스트하우스
소라모텔,서울 서대문구 대현동 101-15,2.6점,"여행 > 숙박 > 여관,모텔"
호텔더디자이너스 서울역점,서울 용산구 갈월동 69-27,3.4점,여행 > 숙박 > 호텔
록수여관,서울 마포구 공덕동 242-46,,"여행 > 숙박 > 여관,모텔"
신촌월호텔,서울 서대문구 대현동 104-15,2.6점,"여행 > 숙박 > 여관,모텔"
랑호텔,서울 중구 중림동 128-40,4.0점,"여행 > 숙박 > 여관,모텔"
신도여관,서울 마포구 아현동 346-27,,"여행 > 숙박 > 여관,모텔"
글래드 마포,서울 마포구 도화동 25-13,3.8점,여행 > 숙박 > 호텔
호텔모모,서울 서대문구 창천동 20-38,2.8점,"여행 > 숙박 > 여관,모텔"
서울그랜드호스텔 이대,서울 서대문구 대현동 101-17,,여행 > 숙박 > 게스트하우스
진양모텔,서울 용산구 청파동2가 1-81,,"여행 > 숙박 > 여관,모텔"
R게스트하우스,서울 용산구 서계동 234-3,,여행 > 숙박 > 게스트하우스
디케이하우스,서울 서대문구 대현동 90-37,3.0점,여행 > 숙박 > 게스트하우스
호텔스테이인 서울역,서울 용산구 동자동 35-146,3.1점,"여행 > 숙박 > 여관,모텔"
대명여인숙,서울 마포구 아현동 570-49,,"여행 > 숙박 > 여관,모텔"
롯데시티호텔 마포,서울 마포구 공덕동 467,3.9점,여행 > 숙박 > 호텔 > 특급호텔
콩스테이,서울 용산구 서계동 238-51,,여행 > 숙박 > 게스트하우스
나루하우스,서울 마포구 공덕동 242-45,1.0점,여행 > 숙박 > 게스트하우스
호텔엘리,서울 서대문구 대현동 110-35,2.8점,"여행 > 숙박 > 여관,모텔"
MK리버티하우스 서울역본점,서울 용산구 서계동 220-3,2.5점,여행 > 숙박 > 게스트하우스
힙호텔,서울 서대문구 대현동 104-56,2.3점,"여행 > 숙박 > 여관,모텔"
WO호텔 서울역,서울 용산구 청파동1가 160-1,1.6점,"여행 > 숙박 > 여관,모텔"
신라스테이 서대문,서울 서대문구 미근동 333,3.2점,여행 > 숙박 > 호텔 > 신라스테이
굿타임호텔,서울 서대문구 대현동 104-41,2.8점,"여행 > 숙박 > 여관,모텔"
