name,address,평점
고양이다락방,서울 서대문구 창천동 33-36,
에이투지카페,서울 서대문구 창천동 13-14,3.8점
두드림,서울 마포구 노고산동 31-158,
알디프,서울 마포구 서교동 329-10,
톤앤매너,서울 마포구 서교동 337-10,
호밀밭,서울 서대문구 창천동 4-77,
휴,서울 서대문구 창천동 18-5,2.9점
밀로커피로스터스,서울 마포구 동교동 170-32,4.1점
나비카페,서울 마포구 노고산동 31-208,5.0점
커피빈 신촌점,서울 서대문구 창천동 18-29,4.3점
비로소커피,서울 마포구 신수동 85-19,3.9점
땡스네이쳐,서울 마포구 서교동 486,4.1점
버터밀크,서울 마포구 창전동 6-131,
메가MGC커피 신촌점,서울 서대문구 창천동 31-40,3.7점
언플러그드 홍대,서울 마포구 서교동 326-18,4.6점
아우어베이커리 신촌숲길점,서울 마포구 노고산동 56-74,3.3점
미네르바,서울 서대문구 창천동 13-26,
리얼이스케이프챌린지,서울 마포구 서교동 339-5,
원신카페인서울,서울 마포구 서교동 325-25,2.6점
스핀오프,서울 마포구 서교동 326-6,4.8점
커피크레페 본점,서울 서대문구 창천동 30-10,4.3점
스타벅스 서강대점,서울 마포구 신수동 63-14,3.7점
스타벅스 서강광흥창역점,서울 마포구 창전동 130,3.7점
스타벅스 신촌오거리점,서울 마포구 노고산동 54-1,
더파이홀,서울 서대문구 창천동 57-61,4.1점
독수리다방,서울 서대문구 창천동 31-4,4.2점
러빈허플라워&갤러리카페,서울 마포구 동교동 177-12,4.3점
문베어,서울 서대문구 창천동 5-21,4.6점
댓커피,서울 마포구 노고산동 19-52,3.8점
라헬의부엌 홍대점,서울 마포구 서교동 333-6,
설빙 신촌점,서울 서대문구 창천동 33-43,3.9점
아메노히커피점,서울 마포구 동교동 184-12,4.2점
아비아채 서울홍대점,서울 마포구 동교동 177-24,3.5점
클로리스 신촌점,서울 서대문구 창천동 13-35,4.2점
도토리앤다람쥐,서울 마포구 창전동 6-43,
커피랩,서울 마포구 서교동 327-19,4.4점
앤디스커피,서울 마포구 서교동 330-19,5.0점
카페장쌤,서울 마포구 서교동 333-30,4.2점
칼디커피,서울 마포구 서교동 330-10,3.6점
써밋컬쳐 신촌점,서울 마포구 노고산동 56-15,4.3점
카페공명 연남점,서울 마포구 동교동 146-8,4.2점
스타벅스 신촌점,서울 서대문구 창천동 18-55,4.1점
스타벅스 신촌명물거리점,서울 서대문구 창천동 13-19,4.4점
스타벅스 신촌역점,서울 서대문구 창천동 72-12,
가비애,서울 마포구 서교동 337-3,4.1점
