name,address,평점,카테고리,평균 단가
굴다리식당,서울 마포구 도화동 181-45,2.3점,음식점 > 한식,10333
장수갈매기 본점,서울 마포구 도화동 182-11,3.6점,"음식점 > 한식 > 육류,고기",15600
일일향 마포점,서울 마포구 도화동 179-2,3.1점,음식점 > 중식 > 중국요리,11800
이춘복참치 공덕점,서울 마포구 도화동 25-66,,음식점 > 일식 > 참치회,62200
마포옥,서울 마포구 용강동 50-13,,음식점 > 한식 > 설렁탕,49000
색동저고리 마포점,서울 마포구 도화동 179-3,3.1점,음식점 > 한식 > 한정식,23800
곱 마포점,서울 마포구 도화동 179-11,,"음식점 > 한식 > 육류,고기 > 곱창,막창",26000
마포청학동부침개,서울 마포구 공덕동 256-30,2.5점,음식점 > 한식,13400
영광보쌈,서울 마포구 공덕동 256-20,3.4점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",26000
아소정,서울 마포구 염리동 149-9,3.7점,음식점 > 한식,11800
함루,서울 마포구 공덕동 478,3.0점,음식점 > 일식,27000
역전회관,서울 마포구 염리동 173-21,,"음식점 > 한식 > 육류,고기 > 불고기,두루치기",16200
여명,서울 마포구 도화동 181-2,3.2점,음식점 > 중식 > 중국요리,16000
마포오향족발,서울 마포구 공덕동 256-10,3.0점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",35200
복성각 마포본점,서울 마포구 도화동 173,4.0점,음식점 > 중식 > 중국요리,15000
SOUPER 마포,서울 마포구 도화동 251-1,4.2점,음식점 > 양식,7500
남해바다,서울 마포구 도화동 536,,"음식점 > 한식 > 해물,생선 > 회",66000
을밀대 본점,서울 마포구 염리동 147-6,4.2점,음식점 > 한식 > 냉면,38400
모연,서울 마포구 용강동 51-5,4.6점,"음식점 > 한식 > 육류,고기",70600
코끼리즉석떡볶이,서울 마포구 도화동 345-4,3.1점,음식점 > 분식 > 떡볶이,3250
외백,서울 마포구 도화동 343-1,3.2점,음식점 > 중식 > 중국요리,16600
부산갈매기,서울 마포구 도화동 194-18,4.0점,"음식점 > 한식 > 육류,고기",15250
소문난쭈꾸미 마포본점,서울 마포구 도화동 179-15,3.7점,"음식점 > 한식 > 해물,생선",78000
참나무본가 공덕점,서울 마포구 공덕동 256-42,4.7점,"음식점 > 한식 > 육류,고기",26800
마포왕족발,서울 마포구 공덕동 256-10,3.6점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",41800
두껍삼 마포직영점,서울 마포구 도화동 553,,"음식점 > 한식 > 육류,고기 > 삼겹살",83600
마포원조떡볶이,서울 마포구 도화동 345-4,3.0점,음식점 > 분식 > 떡볶이,2200
오목집 마포점,서울 마포구 도화동 194-22,3.8점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",32400
락희옥 마포본점,서울 마포구 공덕동 478,4.4점,음식점 > 한식,38800
마포갈매기,서울 마포구 도화동 194-8,3.9점,"음식점 > 한식 > 육류,고기",13400
산동만두,서울 마포구 도화동 327-1,4.6점,음식점 > 중식,29800
조선초가한끼,서울 마포구 대흥동 802,3.3점,음식점 > 한식,24400
마포소문난원조족발,서울 마포구 공덕동 256-11,3.8점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",36000
오롯,서울 마포구 염리동 157-13,4.4점,음식점 > 한식,15600
본점최대포 1호점,서울 마포구 도화동 25-8,4.0점,"음식점 > 한식 > 육류,고기",17600
마포진짜원조최대포 본점,서울 마포구 공덕동 255-5,,"음식점 > 한식 > 육류,고기",14600
진대감 마포점,서울 마포구 공덕동 249-62,,"음식점 > 한식 > 육류,고기",41000
원조조박집 본관,서울 마포구 용강동 40-1,4.2점,"음식점 > 한식 > 육류,고기",30666
탑클라우드23,서울 마포구 공덕동 471,3.6점,음식점 > 양식,정보 없음
몽중헌 공덕점,서울 마포구 도화동 25-13,3.7점,음식점 > 중식 > 중국요리,16400
마포양지설렁탕,서울 마포구 도화동 181-39,3.3점,음식점 > 한식 > 설렁탕,14800
롯데시티호텔마포 나루,서울 마포구 공덕동 467,4.2점,음식점 > 뷔페,67100
마포나루 아크로점,서울 마포구 도화동 563,4.0점,음식점 > 한식,39600
미스터리브루잉컴퍼니,서울 마포구 염리동 168-9,4.2점,"음식점 > 술집 > 호프,요리주점",18400
마포나루 도화본점,서울 마포구 도화동 201-39,4.3점,음식점 > 한식 > 한정식,30400
