name,address,평점,평점,카테고리
굴다리식당,서울 마포구 도화동 181-45,2.3점,2.3점,음식점 > 한식
일일향 마포점,서울 마포구 도화동 179-2,3.1점,3.1점,음식점 > 중식 > 중국요리
수저가,서울 마포구 신수동 89-10,4.5점,4.5점,음식점 > 중식 > 중국요리
롤앤롤 김밥,서울 마포구 신수동 22-22,4.1점,4.1점,음식점 > 분식
마포옥,서울 마포구 용강동 50-13,,,음식점 > 한식 > 설렁탕
색동저고리 마포점,서울 마포구 도화동 179-3,3.1점,3.1점,음식점 > 한식 > 한정식
부영각,서울 마포구 용강동 494-61,3.7점,3.7점,음식점 > 중식 > 중국요리
매일스시횟집,서울 마포구 염리동 95-1,3.6점,3.6점,"음식점 > 일식 > 초밥,롤"
아소정,서울 마포구 염리동 149-9,3.7점,3.7점,음식점 > 한식
함루,서울 마포구 공덕동 478,3.0점,3.0점,음식점 > 일식
역전회관,서울 마포구 염리동 173-21,,,"음식점 > 한식 > 육류,고기 > 불고기,두루치기"
녹기전에,서울 마포구 염리동 148-22,4.5점,4.5점,음식점 > 간식 > 아이스크림
복성각 마포본점,서울 마포구 도화동 173,4.0점,4.0점,음식점 > 중식 > 중국요리
천장어 마포대흥역점,서울 마포구 염리동 155-12,3.9점,3.9점,"음식점 > 한식 > 해물,생선 > 장어"
남해바다,서울 마포구 도화동 536,,,"음식점 > 한식 > 해물,생선 > 회"
재모식당,서울 마포구 대흥동 37-14,4.1점,4.1점,음식점 > 한식
을밀대 본점,서울 마포구 염리동 147-6,4.2점,4.3점,음식점 > 한식 > 냉면
모연,서울 마포구 용강동 51-5,4.6점,4.6점,"음식점 > 한식 > 육류,고기"
봉피양 마포점,서울 마포구 용강동 50-3,3.4점,3.4점,"음식점 > 한식 > 육류,고기 > 갈비"
스키당,서울 마포구 대흥동 241-26,4.6점,4.6점,음식점 > 샤브샤브
정정 공덕1호점,서울 마포구 대흥동 466-5,3.9점,3.9점,음식점 > 중식 > 중국요리
두껍삼 마포직영점,서울 마포구 도화동 553,,,"음식점 > 한식 > 육류,고기 > 삼겹살"
마포원조떡볶이,서울 마포구 도화동 345-4,3.0점,3.0점,음식점 > 분식 > 떡볶이
마포왕족발,서울 마포구 공덕동 256-10,3.6점,3.6점,"음식점 > 한식 > 육류,고기 > 족발,보쌈"
램랜드,서울 마포구 용강동 494-32,4.1점,4.1점,"음식점 > 한식 > 육류,고기"
개성손만두 마포점,서울 마포구 대흥동 337-80,4.2점,4.2점,"음식점 > 한식 > 찌개,전골"
원마산 아구찜 본관,서울 마포구 용강동 116-5,4.4점,4.4점,"음식점 > 한식 > 해물,생선 > 아구"
락희옥 마포본점,서울 마포구 공덕동 478,4.4점,4.4점,음식점 > 한식
조선초가한끼,서울 마포구 대흥동 802,3.3점,3.3점,음식점 > 한식
오롯,서울 마포구 염리동 157-13,4.4점,4.4점,음식점 > 한식
마포나루 도화본점,서울 마포구 도화동 201-39,4.3점,4.3점,음식점 > 한식 > 한정식
엄마손칼국수,서울 마포구 대흥동 241-26,4.0점,4.0점,음식점 > 한식 > 국수 > 칼국수
신촌즉석생우동,서울 마포구 대흥동 801-13,4.2점,4.2점,"음식점 > 일식 > 돈까스,우동"
마포진짜원조최대포 본점,서울 마포구 공덕동 255-5,,,"음식점 > 한식 > 육류,고기"
서울안심축산 마포직영점,서울 마포구 용강동 67-1,3.4점,3.4점,"음식점 > 한식 > 육류,고기"
원조기사님분식,서울 마포구 대흥동 159-1,4.2점,4.2점,음식점 > 기사식당
육시리 마포직영점,서울 마포구 용강동 50-11,4.3점,4.3점,"음식점 > 한식 > 육류,고기"
통큰갈비 마포공덕점,서울 마포구 염리동 155-1,4.7점,4.7점,"음식점 > 한식 > 육류,고기 > 갈비"
원조조박집 본관,서울 마포구 용강동 40-1,4.2점,4.2점,"음식점 > 한식 > 육류,고기"
온달만두분식,서울 마포구 대흥동 194-2,3.5점,3.5점,음식점 > 분식
몽중헌 공덕점,서울 마포구 도화동 25-13,3.7점,3.7점,음식점 > 중식 > 중국요리
마포양지설렁탕,서울 마포구 도화동 181-39,3.3점,3.3점,음식점 > 한식 > 설렁탕
롯데시티호텔마포 나루,서울 마포구 공덕동 467,4.2점,4.2점,음식점 > 뷔페
미스터리브루잉컴퍼니,서울 마포구 염리동 168-9,4.2점,4.2점,"음식점 > 술집 > 호프,요리주점"
계고기집,서울 마포구 염리동 157-8,4.1점,4.1점,"음식점 > 한식 > 육류,고기 > 닭요리"
