name,address,평점,평점,카테고리
일일향 마포점,서울 마포구 도화동 179-2,3.1점,3.1점,음식점 > 중식 > 중국요리
굴다리식당,서울 마포구 도화동 181-45,2.3점,2.3점,음식점 > 한식
장수갈매기 본점,서울 마포구 도화동 182-11,3.6점,3.6점,"음식점 > 한식 > 육류,고기"
마포옥,서울 마포구 용강동 50-13,,,음식점 > 한식 > 설렁탕
색동저고리 마포점,서울 마포구 도화동 179-3,3.1점,3.1점,음식점 > 한식 > 한정식
곱 마포점,서울 마포구 도화동 179-11,,,"음식점 > 한식 > 육류,고기 > 곱창,막창"
아소정,서울 마포구 염리동 149-9,3.7점,3.7점,음식점 > 한식
역전회관,서울 마포구 염리동 173-21,,,"음식점 > 한식 > 육류,고기 > 불고기,두루치기"
SOUPER 마포,서울 마포구 도화동 251-1,4.2점,4.2점,음식점 > 양식
복성각 마포본점,서울 마포구 도화동 173,4.0점,4.0점,음식점 > 중식 > 중국요리
다락,서울 마포구 도화동 340,3.1점,3.1점,음식점 > 분식 > 떡볶이
남해바다,서울 마포구 도화동 536,,,"음식점 > 한식 > 해물,생선 > 회"
을밀대 본점,서울 마포구 염리동 147-6,4.2점,4.3점,음식점 > 한식 > 냉면
모연,서울 마포구 용강동 51-5,4.6점,4.6점,"음식점 > 한식 > 육류,고기"
코끼리즉석떡볶이,서울 마포구 도화동 345-4,3.1점,3.1점,음식점 > 분식 > 떡볶이
외백,서울 마포구 도화동 343-1,3.2점,3.2점,음식점 > 중식 > 중국요리
봉피양 마포점,서울 마포구 용강동 50-3,3.4점,3.4점,"음식점 > 한식 > 육류,고기 > 갈비"
부산갈매기,서울 마포구 도화동 194-18,4.0점,4.0점,"음식점 > 한식 > 육류,고기"
소문난쭈꾸미 마포본점,서울 마포구 도화동 179-15,3.7점,3.7점,"음식점 > 한식 > 해물,생선"
짬뽕지존 마포점,서울 마포구 도화동 37,3.3점,3.3점,음식점 > 중식 > 중국요리
문가네정육식당 마포역점,서울 마포구 용강동 40-1,4.3점,4.3점,"음식점 > 한식 > 육류,고기"
양평신내서울해장국 마포직영점,서울 마포구 용강동 508,3.6점,3.6점,음식점 > 한식 > 해장국
마포원조떡볶이,서울 마포구 도화동 345-4,3.0점,3.0점,음식점 > 분식 > 떡볶이
두껍삼 마포직영점,서울 마포구 도화동 553,,,"음식점 > 한식 > 육류,고기 > 삼겹살"
램랜드,서울 마포구 용강동 494-32,4.1점,4.1점,"음식점 > 한식 > 육류,고기"
서산꽃게,서울 마포구 도화동 201-5,3.2점,3.2점,"음식점 > 한식 > 해물,생선 > 게,대게"
원마산 아구찜 본관,서울 마포구 용강동 116-5,4.4점,4.4점,"음식점 > 한식 > 해물,생선 > 아구"
락희옥 마포본점,서울 마포구 공덕동 478,4.4점,4.4점,음식점 > 한식
마포갈매기,서울 마포구 도화동 194-8,3.9점,3.9점,"음식점 > 한식 > 육류,고기"
산동만두,서울 마포구 도화동 327-1,4.6점,4.6점,음식점 > 중식
아이오유,서울 용산구 청암동 164,3.8점,3.8점,음식점 > 양식 > 이탈리안
조선초가한끼,서울 마포구 대흥동 802,3.3점,3.3점,음식점 > 한식
대도식당 마포대로점,서울 마포구 마포동 34-1,,,"음식점 > 한식 > 육류,고기"
현래장,서울 마포구 마포동 140,2.9점,2.9점,음식점 > 중식 > 중국요리
마루심 마포점,서울 마포구 용강동 51-3,3.6점,3.6점,"음식점 > 한식 > 해물,생선 > 장어"
마포진짜원조최대포 본점,서울 마포구 공덕동 255-5,,,"음식점 > 한식 > 육류,고기"
서울안심축산 마포직영점,서울 마포구 용강동 67-1,3.4점,3.4점,"음식점 > 한식 > 육류,고기"
능라도 마포점,서울 마포구 마포동 33-1,3.0점,3.0점,음식점 > 한식 > 냉면
육시리 마포직영점,서울 마포구 용강동 50-11,4.3점,4.3점,"음식점 > 한식 > 육류,고기"
원조조박집 본관,서울 마포구 용강동 40-1,4.2점,4.2점,"음식점 > 한식 > 육류,고기"
마포양지설렁탕,서울 마포구 도화동 181-39,3.3점,3.3점,음식점 > 한식 > 설렁탕
몽중헌 공덕점,서울 마포구 도화동 25-13,3.7점,3.7점,음식점 > 중식 > 중국요리
마포나루 아크로점,서울 마포구 도화동 563,4.0점,4.0점,음식점 > 한식
미스터리브루잉컴퍼니,서울 마포구 염리동 168-9,4.2점,4.2점,"음식점 > 술집 > 호프,요리주점"
마포나루 도화본점,서울 마포구 도화동 201-39,4.3점,4.3점,음식점 > 한식 > 한정식
