name,address,평점
꼬숑돈까스,서울 서대문구 창천동 31-26,3.8점
끼로끼로부엉이 본점,서울 마포구 노고산동 54-3,4.4점
통큰갈비 신촌본점,서울 서대문구 창천동 62-67,4.4점
수저가,서울 마포구 신수동 89-10,4.5점
벽제갈비 신촌점,서울 서대문구 창천동 13-20,3.8점
신촌고기창고,서울 서대문구 창천동 52-78,3.7점
철길왕갈비살,서울 마포구 창전동 4-2,3.4점
고삼이 신촌점,서울 서대문구 창천동 53-8,4.3점
신촌수제비,서울 서대문구 창천동 30-10,3.0점
마포소금구이,서울 마포구 서교동 9-6,3.4점
동해회집,서울 마포구 노고산동 31-170,3.5점
로운샤브샤브 신촌점,서울 마포구 노고산동 57-1,3.1점
형제식당,서울 마포구 노고산동 49-47,3.4점
거구장,서울 마포구 신수동 63-14,2.8점
황곱 홍대점,서울 마포구 동교동 170-23,4.7점
또보겠지떡볶이집 스마일보이점,서울 마포구 서교동 327-20,3.6점
보승회관 신촌점,서울 서대문구 창천동 62-1,2.4점
을밀대 본점,서울 마포구 염리동 147-6,4.2점
기꾸스시,서울 서대문구 창천동 72-23,3.6점
정육면체,서울 서대문구 창천동 62-18,3.8점
춘천집닭갈비막국수,서울 서대문구 창천동 57-8,3.2점
신촌형제갈비,서울 서대문구 창천동 31-26,2.6점
설레임삼겹살1989,서울 서대문구 창천동 57-40,4.2점
김진환제과점,서울 마포구 동교동 186-22,4.4점
아오이토리,서울 마포구 서교동 327-17,4.0점
라구식당,서울 서대문구 창천동 2-44,4.1점
복성각,서울 서대문구 창천동 31-8,3.2점
여우골 신촌점,서울 서대문구 창천동 62-11,3.8점
니즈버거 신촌점,서울 마포구 창전동 2-48,4.7점
이빠네마그릴,서울 서대문구 창천동 18-11,4.1점
소신이쏘,서울 서대문구 창천동 57-39,3.8점
더담,서울 마포구 서교동 328-26,3.2점
램랜드,서울 마포구 용강동 494-32,4.1점
피자몰 신촌점,서울 마포구 노고산동 57-1,4.0점
현명식탁,서울 서대문구 창천동 13-2,3.9점
신촌황소곱창 신촌본점,서울 서대문구 창천동 52-148,2.2점
아저씨네낙지찜 신촌점,서울 서대문구 창천동 72-29,3.9점
부산집 홍대본점,서울 마포구 동교동 188-2,4.3점
유닭스토리 닭한마리 신촌점,서울 서대문구 창천동 18-72,3.7점
스아게K,서울 마포구 서교동 334-23,3.9점
가화만사성,서울 서대문구 창천동 57-8,2.6점
산울림1992,서울 마포구 창전동 5-138,3.8점
신촌서서갈비,서울 마포구 노고산동 107-29,3.6점
카라멘야,서울 서대문구 창천동 53-97,
부탄츄 신촌점,서울 서대문구 창천동 62-10,3.3점
