name,address,평점,카테고리
꼬숑돈까스,서울 서대문구 창천동 31-26,3.8점,"음식점 > 일식 > 돈까스,우동"
통큰갈비 신촌본점,서울 서대문구 창천동 62-67,4.4점,"음식점 > 한식 > 육류,고기 > 갈비"
벽제갈비 신촌점,서울 서대문구 창천동 13-20,3.8점,"음식점 > 한식 > 육류,고기 > 갈비"
신촌고기창고,서울 서대문구 창천동 52-78,3.7점,"음식점 > 한식 > 육류,고기"
착한곱창,서울 서대문구 창천동 52-44,4.6점,"음식점 > 한식 > 육류,고기 > 곱창,막창"
정통집,서울 서대문구 창천동 33-17,3.1점,"음식점 > 한식 > 육류,고기"
철길왕갈비살,서울 마포구 창전동 4-2,3.4점,"음식점 > 한식 > 육류,고기 > 갈비"
고삼이 신촌점,서울 서대문구 창천동 53-8,4.3점,"음식점 > 한식 > 해물,생선"
청담동포장마차,서울 서대문구 창천동 13-24,4.3점,음식점 > 술집 > 실내포장마차
미도인 신촌,서울 서대문구 창천동 45-12,3.5점,음식점 > 일식
신촌수제비,서울 서대문구 창천동 30-10,3.0점,음식점 > 한식 > 수제비
형제식당,서울 마포구 노고산동 49-47,3.4점,음식점 > 한식
보승회관 신촌점,서울 서대문구 창천동 62-1,2.4점,음식점 > 한식 > 국밥
술익는마을,서울 서대문구 창천동 52-66,3.8점,"음식점 > 술집 > 호프,요리주점"
기꾸스시,서울 서대문구 창천동 72-23,3.6점,"음식점 > 일식 > 초밥,롤"
정육면체,서울 서대문구 창천동 62-18,3.8점,음식점 > 퓨전요리
연어초밥,서울 서대문구 대현동 101-10,4.8점,"음식점 > 일식 > 초밥,롤"
춘천집닭갈비막국수,서울 서대문구 창천동 57-8,3.2점,"음식점 > 한식 > 육류,고기 > 닭요리"
신촌형제갈비,서울 서대문구 창천동 31-26,2.6점,"음식점 > 한식 > 육류,고기 > 갈비"
설레임삼겹살1989,서울 서대문구 창천동 57-40,4.2점,"음식점 > 한식 > 육류,고기 > 삼겹살"
엠브로돈까스 신촌점,서울 서대문구 창천동 13-16,3.8점,"음식점 > 일식 > 돈까스,우동"
라구식당,서울 서대문구 창천동 2-44,4.1점,음식점 > 양식 > 이탈리안
복성각,서울 서대문구 창천동 31-8,3.2점,음식점 > 중식 > 중국요리
여우골 신촌점,서울 서대문구 창천동 62-11,3.8점,"음식점 > 일식 > 초밥,롤"
아오이토리,서울 마포구 서교동 327-17,4.0점,"음식점 > 간식 > 제과,베이커리"
이빠네마그릴,서울 서대문구 창천동 18-11,4.1점,"음식점 > 양식 > 멕시칸,브라질"
소신이쏘,서울 서대문구 창천동 57-39,3.8점,"음식점 > 한식 > 육류,고기 > 갈비"
미스터서왕만두,서울 서대문구 대현동 27-20,4.5점,음식점 > 분식
완차이,서울 서대문구 창천동 5-35,4.1점,음식점 > 중식 > 중국요리
타코벨 신촌점,서울 서대문구 창천동 31-28,3.2점,"음식점 > 양식 > 멕시칸,브라질"
피자몰 신촌점,서울 마포구 노고산동 57-1,4.0점,음식점 > 양식 > 피자 > 피자몰
한림돈가,서울 서대문구 창천동 52-124,4.2점,"음식점 > 한식 > 육류,고기"
현명식탁,서울 서대문구 창천동 13-2,3.9점,음식점 > 양식 > 이탈리안
신촌황소곱창 신촌본점,서울 서대문구 창천동 52-148,2.2점,"음식점 > 한식 > 육류,고기 > 곱창,막창"
부엉이돈가스 신촌점,서울 서대문구 창천동 5-70,4.0점,"음식점 > 일식 > 돈까스,우동"
공릉닭한마리,서울 서대문구 대현동 104-69,3.7점,"음식점 > 한식 > 육류,고기 > 닭요리"
아웃백스테이크하우스 신촌점,서울 서대문구 창천동 2-6,3.9점,음식점 > 패밀리레스토랑 > 아웃백스테이크하우스딜리버리
아저씨네낙지찜 신촌점,서울 서대문구 창천동 72-29,3.9점,"음식점 > 한식 > 해물,생선"
유닭스토리 닭한마리 신촌점,서울 서대문구 창천동 18-72,3.7점,"음식점 > 한식 > 육류,고기 > 닭요리"
가화만사성,서울 서대문구 창천동 57-8,2.6점,음식점 > 중식 > 중국요리
대전해장국전문,서울 마포구 노고산동 19-39,3.7점,음식점 > 한식 > 해장국
신촌서서갈비,서울 마포구 노고산동 107-29,3.6점,"음식점 > 한식 > 육류,고기 > 갈비"
산울림1992,서울 마포구 창전동 5-138,3.8점,"음식점 > 술집 > 호프,요리주점"
카라멘야,서울 서대문구 창천동 53-97,,음식점 > 일식 > 일본식라면
부탄츄 신촌점,서울 서대문구 창천동 62-10,3.3점,음식점 > 일식 > 일본식라면
