name,address,평점,카테고리,평균 단가
일미락 상암점,서울 마포구 상암동 1493,3.5점,"음식점 > 한식 > 육류,고기",21200
김영섭초밥,서울 마포구 상암동 42-20,3.6점,"음식점 > 일식 > 초밥,롤",39980
아리산채,서울 은평구 증산동 223-28,4.4점,음식점 > 중식,11200
서노스시,서울 마포구 성산동 278-22,3.6점,"음식점 > 일식 > 초밥,롤",10200
아고야,서울 마포구 상암동 42-18,,"음식점 > 한식 > 육류,고기",13500
월화고기 상암직영 1호점,서울 마포구 상암동 8-3,,"음식점 > 한식 > 육류,고기 > 삼겹살",18400
강순자옛맛김치찌개 마포구청점,서울 마포구 성산동 591-6,2.5점,"음식점 > 한식 > 찌개,전골",7700
옥자회관,서울 마포구 상암동 2-29,4.4점,"음식점 > 일식 > 돈까스,우동",15400
만나식당,서울 마포구 성산동 260-14,4.1점,"음식점 > 한식 > 찌개,전골",13800
몽미,서울 마포구 상암동 2-98,4.6점,"음식점 > 한식 > 육류,고기 > 삼겹살",17800
미스사이공 상암DMC점,서울 마포구 상암동 1525,4.7점,음식점 > 아시아음식 > 동남아음식 > 베트남음식,4940
홍반장신의주찹쌀순대&감자탕,서울 마포구 성산동 592-1,1.4점,음식점 > 한식 > 순대,19200
파스타공작소,서울 마포구 상암동 2-200,4.7점,음식점 > 양식 > 이탈리안,18800
일포베트남쌀국수,서울 마포구 상암동 1474,4.4점,음식점 > 아시아음식 > 동남아음식,8000
당가원,서울 마포구 성산동 200-38,4.2점,음식점 > 중식 > 중국요리,8100
다이닝원 상암점,서울 마포구 상암동 1615,3.3점,음식점 > 뷔페 > 해산물뷔페,20720
물고기자리,서울 마포구 상암동 34-88,,"음식점 > 한식 > 해물,생선 > 회",40000
서룡,서울 마포구 상암동 1653,,음식점 > 중식 > 중국요리,48400
마음심,서울 마포구 상암동 32-14,4.3점,"음식점 > 한식 > 육류,고기",10600
옥소반 상암점,서울 마포구 상암동 1615,4.0점,음식점 > 샤브샤브,10760
노브랜드버거 메가박스상암점,서울 마포구 성산동 515-25,2.7점,음식점 > 패스트푸드 > 노브랜드버거,정보 없음
푸차이,서울 마포구 상암동 1622,3.6점,음식점 > 중식 > 중국요리,14600
김경자대구왕뽈찜 상암점,서울 마포구 성산동 533-1,3.3점,"음식점 > 한식 > 해물,생선",39000
덕승재 상암동본점,서울 마포구 상암동 1653,,음식점 > 한식 > 한정식,43360
도시의어부 상암점,서울 마포구 상암동 35-7,3.8점,"음식점 > 한식 > 해물,생선 > 회",정보 없음
구리돌곱창,서울 마포구 상암동 2-425,4.0점,"음식점 > 한식 > 육류,고기 > 곱창,막창",31200
장어세상,서울 서대문구 북가좌동 371-11,4.9점,"음식점 > 한식 > 해물,생선 > 장어",33600
한상가득왕솥뚜껑 상암본점,서울 마포구 상암동 1520,3.7점,"음식점 > 한식 > 육류,고기",17400
마야콩짜장,서울 마포구 성산동 152-1,3.4점,음식점 > 중식,18000
성산왕갈비,서울 마포구 성산동 446,3.2점,"음식점 > 한식 > 육류,고기 > 갈비",35000
스시린,서울 마포구 성산동 590-5,4.1점,"음식점 > 일식 > 초밥,롤",33600
도야지,서울 마포구 성산동 590-4,2.4점,"음식점 > 한식 > 육류,고기",20000
군산찜,서울 마포구 성산동 200-316,3.7점,"음식점 > 한식 > 해물,생선",34600
청춘소고기,서울 마포구 상암동 15-16,4.3점,"음식점 > 한식 > 육류,고기",17400
무한리필808,서울 마포구 상암동 41-10,3.6점,"음식점 > 한식 > 육류,고기",29000
두끼떡볶이 홈플러스상암월드컵점,서울 마포구 성산동 529-16,3.9점,음식점 > 분식 > 떡볶이 > 두끼떡볶이,8900
홈플러스 월드컵점 푸드코트,서울 마포구 성산동 527-16,1.6점,음식점 > 푸드코트,9180
상암해물,서울 마포구 상암동 1497,4.3점,"음식점 > 한식 > 해물,생선",정보 없음
대박포차,서울 마포구 성산동 174-1,3.6점,음식점 > 술집 > 실내포장마차,17000
초한초마,서울 마포구 망원동 471-27,3.4점,음식점 > 중식 > 중국요리,7800
일등식당,서울 마포구 망원동 476-1,4.2점,음식점 > 한식 > 해장국,5600
목포낙지마을,서울 마포구 성산동 278-41,4.3점,"음식점 > 한식 > 해물,생선",14200
상암구름산추어탕,서울 마포구 상암동 1490,3.5점,음식점 > 한식,13400
교대이층집 상암점,서울 마포구 상암동 15-29,3.9점,"음식점 > 한식 > 육류,고기 > 삼겹살",20400
대동관,서울 마포구 성산동 138-4,4.5점,음식점 > 한식 > 냉면,25800
